id;intitule;description;dateCreation;dateActualisation;lieuTravail;romeCode;romeLibelle;appellationlibelle;entreprise;typeContrat;typeContratLibelle;natureContrat;experienceExige;experienceLibelle;salaire;dureeTravailLibelle;dureeTravailLibelleConverti;alternance;contact;agence;nombrePostes;accessibleTH;qualificationCode;qualificationLibelle;codeNAF;secteurActivite;secteurActiviteLibelle;qualitesProfessionnelles;origineOffre;competences;deplacementCode;deplacementLibelle;offresManqueCandidats;formations;permis;complementExercice;experienceCommentaire;langues;conditionExercice
163JJJF;TECHNICIEN GESTIONNAIRE -PPTI (H/F);"Placé sous la responsabilité d'un manager, l'agent  administration assure le traitement et suivi des dossiers des assurés. Selon l'affectation, ses missions seront les suivantes:

Courrier: tri des courriers entrants, indexation et numération des documents.

Profil
Vous disposez d'une première expérience administrative qui vous a permis de développer les qualités suivantes:
Esprit de synthèse et capacités d'analyse,
sens de l'organisation et du travail en équipe";2023-10-16 14:46:20;2023-10-16 14:46:20;{'libelle': '92 - NANTERRE', 'latitude': 48.898095, 'longitude': 2.202314, 'codePostal': '92000', 'commune': '92050'};M1602;Opérations administratives;Agent administratif / Agente administrative;{'nom': 'CAISSE PRIMAIRE ASSURANCE MALADIE DES HA', 'entrepriseAdaptee': False};CDD;Contrat à durée déterminée - 3 Mois;Contrat travail;True;1 an;{'libelle': 'Annuel de 24934 Euros à 24934 Euros sur 14 mois', 'complement1': 'Chèque repas', 'complement2': 'Mutuelle'};36H Travail en journée;Temps plein;False;{'nom': 'Pôle Emploi Nanterre', 'coordonnees1': '20 RUE GAMBETTA', 'coordonnees2': '92000 NANTERRE', 'coordonnees3': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JJJF'};{'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JJJF'};1;False;7;Technicien;84.30A;84;Activités générales de sécurité sociale;"[{'libelle': ""Faire preuve d'autonomie"", 'description': ""Capacité à prendre en charge son activité sans devoir être encadré de façon continue (le cas échéant, à solliciter les autres acteurs de l'entreprise).""}, {'libelle': 'Faire preuve de réactivité', 'description': ""Capacité à réagir rapidement face à des évènements et à des imprévus, en hiérarchisant les actions, en fonction de leur degré d'urgence / d'importance.""}, {'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}]";{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JJJF'};;;;True;;;;;;
163JJJD;Plongeur / Plongeuse en restauration;"***Poste NON LOGE***
**Renfort VACANCES SCOLAIRES 20 OCTOBRE AU 05 NOVEMBRE 2023** 

Hôtel Club  recherche du personnel de plonge batterie.

Vous aimez être attentif aux autres et à la satisfaction clients, aussi nous serions heureux que vous rejoigniez notre équipe pour la saison.

Planning avec horaires roulants jusqu'à 23 heures. - 2 jours de repos  hebdomadaire 
Horaires bloc privilégiées
Base temps partiel 28 heures - 1400 € Brut mensuel + 13ème mois et la prime de vacances (au prorata du temps de contrat)";2023-10-16 14:46:19;2023-10-16 14:46:21;{'libelle': '83 - HYERES', 'latitude': 43.116731, 'longitude': 6.20255, 'codePostal': '83400', 'commune': '83069'};G1605;Plonge en restauration;Plongeur / Plongeuse en restauration;{'nom': 'BTP VACANCES', 'description': 'Village de vacances (300 chambres) situé à Hyères.', 'entrepriseAdaptee': False};CDD;Contrat à durée déterminée - 15 Jour(s);Contrat travail;True;Débutant accepté;{'libelle': 'Mensuel de 1400,00 Euros', 'complement1': 'Primes'};28H Travail le week-end;Temps partiel;False;{'nom': 'BTP VACANCES - Mme MARIE HELENE PAYEN', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JJJD', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JJJD'};;1;False;5;Employé non qualifié;55.20Z;55;Hébergement touristique et autre hébergement de courte durée;"[{'libelle': 'Travailler en équipe', 'description': ""Capacité à travailler et à se coordonner avec les autres au sein de l'entreprise pour réaliser les objectifs fixés.""}, {'libelle': ""Faire preuve d'autonomie"", 'description': ""Capacité à prendre en charge son activité sans devoir être encadré de façon continue (le cas échéant, à solliciter les autres acteurs de l'entreprise).""}, {'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}]";{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JJJD'};[{'code': '100016', 'libelle': 'Gestes et postures de manutention', 'exigence': 'E'}, {'code': '104262', 'libelle': 'Réaliser la plonge', 'exigence': 'E'}, {'code': '104263', 'libelle': 'Essuyer et ranger la vaisselle, la verrerie, les ustensiles de cuisine', 'exigence': 'E'}, {'code': '300282', 'libelle': 'Entretenir, nettoyer un espace, un lieu, un local', 'exigence': 'E'}];1;Jamais;False;;;;;;
163JJJC;Contrat apprentissage secrétaire médicale H/F (H/F);"Vos missions seront les suivantes:
- Assurer l'accueil téléphonique et physique des patients.
- Effectuer les prises de rendez- vous selon les besoins des patients.
- Utiliser le logiciel interne et assurer les règlements
Vous êtes à l'aise avec l'outil informatique.
Contrat d'apprentissage avec le centre de formation ECOSUP";2023-10-16 14:46:19;2023-10-16 14:46:21;{'libelle': '59 - LILLE', 'latitude': 50.630992, 'longitude': 3.045433, 'codePostal': '59000', 'commune': '59350'};M1609;Secrétariat et assistanat médical ou médico-social;Secrétaire médical / médicale;{'nom': 'SAM OEUN AMARA', 'entrepriseAdaptee': False};CDD;Contrat à durée déterminée - 16 Mois;Contrat apprentissage;True;Débutant accepté;{'commentaire': 'smic brut 1678,95 € selon votre âge', 'complement1': 'Autre'};35H Travail en journée;Temps plein;True;{};;1;False;5;Employé non qualifié;86.23Z;86;Pratique dentaire;"[{'libelle': 'Respecter ses engagements, assumer ses responsabilités', 'description': ""Capacité à engager sa responsabilité pour atteindre un objectif clairement exprimé et à signaler les éventuels freins à lever pour atteindre l'objectif.""}, {'libelle': 'Travailler en équipe', 'description': ""Capacité à travailler et à se coordonner avec les autres au sein de l'entreprise pour réaliser les objectifs fixés.""}, {'libelle': 'Organiser son travail selon les priorités et les objectifs', 'description': 'Capacité à planifier, prioriser, anticiper des actions, en tenant compte des moyens, des ressources, des objectifs et du calendrier pour les réaliser.'}]";{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JJJC'};[{'code': '107201', 'libelle': 'Actualiser le dossier médical du patient', 'exigence': 'E'}, {'code': '123905', 'libelle': 'Accueillir, orienter et renseigner un patient', 'exigence': 'E'}, {'code': '124221', 'libelle': 'Renseigner des documents médico-administratifs', 'exigence': 'E'}];;;False;[{'niveauLibelle': 'Bac ou équivalent', 'exigence': 'E'}];[{'libelle': 'B - Véhicule léger', 'exigence': 'S'}];;;;
163JJJB;Conducteur / Conductrice d'engins de chantier;"Nous recherchons un conducteur d'engins Minipelle, pelle et tractopelle
Vous devez impérativement être titulaire des Caces minipelle, pelle et tractopelle en cours de validité. 


-	Piloter l'engin dans les règles de sécurité et en ayant connaissance des signaux de guidage. 
-	Le conducteur d'engin a la responsabilité de l'entretien courant et de l'état de son engin. 
-	En fonction de la taille du chantier, vient en renfort des compagnons maçons. 

COMPETENCES REQUISES : 

-	Bonne maitrise de la conduite d'engin, et de ses spécificités techniques,
-	Être consciencieux, rigoureux et attentif,
-	Ne pas avoir le vertige, ou la peur du vide,
-	Prudence, connaissance des règles de sécurité,
-	Excellente vision.";2023-10-16 14:46:18;2023-10-16 14:46:18;{'libelle': '43 - MONISTROL SUR LOIRE', 'latitude': 45.292442, 'longitude': 4.184792, 'codePostal': '43120', 'commune': '43137'};F1302;Conduite d'engins de terrassement et de carrière;Conducteur / Conductrice d'engins de chantier;{'nom': 'SOCOBAT AULAGNIER', 'entrepriseAdaptee': False};CDI;Contrat à durée indéterminée;Contrat travail;True;2 ans;{'commentaire': 'selon profil et expérience', 'complement1': 'Autre'};35H Travail en journée;Temps plein;False;{};;1;False;3;Ouvrier qualifié (P1,P2);43.99C;43;Travaux de maçonnerie générale et gros œuvre de bâtiment;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JJJB'};"[{'code': '101506', 'libelle': 'Règles et consignes de sécurité', 'exigence': 'S'}, {'code': '101665', 'libelle': 'Techniques de construction', 'exigence': 'S'}, {'code': '116733', 'libelle': ""Procédures d'entretien d'engins"", 'exigence': 'S'}, {'code': '126364', 'libelle': ""Contrôler l'état de fonctionnement d'un engin"", 'exigence': 'S'}, {'code': '300264', 'libelle': 'Manipuler un engin de manutention ou de chantier', 'exigence': 'S'}]";;;True;;;;;;
163JJHZ;Vendeur (se) poissonnerie (H/F);"Disposer un produit sur un lieu de vente

- Accueillir et servir les clients
- Entretenir un poste de travail/ un espace de vente
- Cartographie des zones de pêche
- Réaliser des préparations culinaires
- Réceptionner et suivre l'état des stocks
- Procédure de conditionnement
- Règles d'hygiène et de sécurité alimentaireChaîne du froid
- Utilisation d'outils de découpe
- Pelage de poissons
- Dressage de plateaux de fruits de mer
- Modes de conservation des produits alimentaires";2023-10-16 14:46:17;2023-10-16 14:46:18;{'libelle': '45 - ORLEANS', 'latitude': 47.873361, 'longitude': 1.910372, 'codePostal': '45000', 'commune': '45234'};D1106;Vente en alimentation;Vendeur / Vendeuse en alimentation générale;"{'nom': 'CARREFOUR', 'description': ""L'entreprise Carrefour est une entreprise privée spécialisée dans le commerce du gros à prédominance alimentaire."", 'entrepriseAdaptee': False}";CDI;Contrat à durée indéterminée;Contrat travail;True;Débutant accepté;{'libelle': 'Mensuel de 1835,00 Euros sur 13 mois', 'complement1': 'Chèque repas', 'complement2': 'Participation/action'};35H Travail en journée;Temps plein;False;{'nom': 'CARREFOUR - Mme LABAYE Véronique', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JJHZ', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JJHZ'};;1;False;5;Employé non qualifié;47.11F;47;Hypermarchés;"[{'libelle': 'Prendre des initiatives et être force de proposition', 'description': 'Capacité à initier, imaginer des propositions nouvelles pour résoudre les problèmes identifiés ou améliorer une situation. Être proactif.'}, {'libelle': 'Avoir le sens du service', 'description': 'Capacité à identifier (voire anticiper) les besoins des usagers, clients (internes et externes) et à apporter une réponse adaptée afin de les satisfaire.'}, {'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}]";{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JJHZ'};[{'code': '300282', 'libelle': 'Entretenir, nettoyer un espace, un lieu, un local', 'exigence': 'S'}, {'code': '300374', 'libelle': 'Présenter et valoriser un produit ou un service', 'exigence': 'S'}, {'code': '300375', 'libelle': 'Organiser, aménager un espace de vente', 'exigence': 'S'}];1;Jamais;False;;;;;;
163JJHY;Mécanicien / Mécanicienne automobile (H/F);"Garage - RECHERCHE mécanicien(ne) expérimenté de + 5 ans d'expériences
vous maitrisez les opérations d'entretien courant + diagnostique + distribution, embrayage, turbo, ... jusqu'à échange standard de moteur
TOUTES marques

  Rémunération de 1950 à 2200€ suivant expérience + PRIME mensuelle de productivité INDIVIDUELLE (300€ /mois constaté)";2023-10-16 14:46:15;2023-10-16 14:46:15;{'libelle': '77 - PROVINS', 'latitude': 48.558668, 'longitude': 3.297921, 'codePostal': '77160', 'commune': '77379'};I1604;Mécanique automobile et entretien de véhicules;Mécanicien / Mécanicienne automobile;{'nom': 'DJ PROVINS', 'entrepriseAdaptee': False};CDI;Contrat à durée indéterminée;Contrat travail;True;5 ans;{'libelle': 'Mensuel de 1950 Euros à 2450 Euros sur 12 mois', 'complement1': 'Primes'};39H Travail en journée;Temps plein;False;{};;1;False;4;Ouvrier qualifié (P3,P4,OHQ);45.32Z;45;Commerce de détail d'équipements automobiles;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JJHY'};"[{'code': '116708', 'libelle': ""Procédures d'entretien de véhicules"", 'exigence': 'S'}, {'code': '116797', 'libelle': 'Intervention de service rapide', 'exigence': 'S'}, {'code': '107046', 'libelle': 'Changer ou réparer les moteurs, boîtes de vitesse, embrayages, suspensions, démarreurs', 'exigence': 'S'}, {'code': '118362', 'libelle': 'Déterminer une solution technique de remise en état du véhicule et des équipements', 'exigence': 'S'}]";;;True;;;;;;
163JJHX;Serveur / Serveuse de restaurant JOB HIVER;"Au sein d'un hôtel/restaurant familial vous serez  en charge  :

- de la mise en place du restaurant et du bar
- de l'accueil des clients, prise de commande, service principalement à l'assiette
- apporter une aide au service des petits déjeuner et à la vaisselle
- du nettoyage du restaurant,

Vous devrez être polyvalent.
 
Poste nourri.
2 jours de congé ou 1 jour et 2 demi-journée
A pourvoir à compter du 22/12/2023";2023-10-16 14:46:14;2023-10-16 14:46:14;{'libelle': '74 - CORDON', 'latitude': 45.913348, 'longitude': 6.597228, 'codePostal': '74700', 'commune': '74089'};G1803;Service en restauration;Serveur / Serveuse de restaurant;{'nom': 'HOTEL RESTAURANT LE CORDONNANT', 'entrepriseAdaptee': False};SAI;Contrat travail saisonnier - 4 Mois;Contrat travail;True;Débutant accepté;{'commentaire': 'à négocier selon votre profil', 'complement1': 'Autre'};39H Travail en journée;Temps plein;False;{};;1;False;3;Ouvrier qualifié (P1,P2);55.10Z;55;Hôtels et hébergement similaire;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JJHX'};"[{'code': '101901', 'libelle': ""Accueillir le client et l'installer"", 'exigence': 'S'}, {'code': '104324', 'libelle': 'Prendre une commande client', 'exigence': 'S'}, {'code': '117932', 'libelle': ""Réaliser la mise en place de la salle et de l'office"", 'exigence': 'S'}, {'code': '117933', 'libelle': 'Effectuer le service des plats à table', 'exigence': 'S'}, {'code': '124014', 'libelle': 'Nettoyer une salle de réception', 'exigence': 'S'}, {'code': '124963', 'libelle': 'Réaliser un service en salle', 'exigence': 'S'}, {'code': '300363', 'libelle': 'Identifier, traiter une demande client', 'exigence': 'S'}, {'code': '300378', 'libelle': 'Assurer un service après-vente', 'exigence': 'S'}, {'code': '300556', 'libelle': 'Conseiller le client dans ses choix de plats selon ses goûts, les suggestions du jour', 'exigence': 'S'}]";;;True;[{'codeFormation': '42746', 'domaineLibelle': 'restauration', 'niveauLibelle': 'CAP, BEP et équivalents', 'exigence': 'S'}];[{'libelle': 'B - Véhicule léger', 'exigence': 'S'}];2 jours de congés/semaine;;;
163JJHS;Personnel qualifié en sécurité privée - ASL ANTIBES JOUR (H/F);"Acteur majeur et leader de la sécurité privée dans les Alpes Maritimes depuis 38 ans, notre entreprise s'est forgée une réputation solide grâce à son sérieux et son expertise incontestables. 

Nous mettons au sommet de nos priorités le bien-être de nos 200 agents et la satisfaction de nos clients.

Si vous recherchez une opportunité au sein d'une entreprise familiale qui accorde une attention particulière à ses employés, nous vous offrons l'opportunité de travailler au sein d'une résidence situé à ANTIBES.

Vos Missions :
- Gestion du contrôle d'accès et de la surveillance des systèmes d'alarme en semaine
- Effectuer des rondes préventives et assurer la surveillance et la gestion des alarmes, y compris les interventions en cas de levée de doute, pendant les week-ends
- Capacité à réagir avec calme et efficacité en situations d'urgence ou face à des incidents
- Vous évoluerez au sein d'un poste de contrôle sécurité situé à l'entrée du site 
- Travailler en vacation de 12h00 sur le créneau horaire 08h00 - 20h00

Ce Que Nous Vous Offrons :
- Une prime pour chaque remplacement effectué
- Une prime de cooptation de 150€
- La possibilité d'un prêt entreprise à hauteur de 1500€
- Une prime de naissance de 150€
- Le trophée du professionnalisme rémunéré

- Des avantages via le CSE, avec des réductions dans plus de 1000 enseignes toute l'année
- Une mutuelle performante
- L'accès à des logements grâce au 1% patronal
- La prise en charge à hauteur de 50% de vos frais de transport en commun
- La sérénité de recevoir votre planning mensuel le 23 de chaque mois

Votre Profil :
- Un sens aigu de la responsabilité et de la confidentialité
- Une excellente capacité de communication et d'observation
- La capacité à agir calmement et rapidement en cas d'urgence
- Vous travaillez avec passion pour maintenir l'excellence et la tranquillité dans un environnement sensible

Vivez la sécurité comme une mission, pas seulement comme un métier.";2023-10-16 14:46:07;2023-10-16 14:46:09;{'libelle': '06 - ANTIBES', 'latitude': 43.582206, 'longitude': 7.103245, 'codePostal': '06600', 'commune': '06004'};K2503;Sécurité et surveillance privées;Agent / Agente de sécurité SSIAP 1;{'entrepriseAdaptee': False};CDI;Contrat à durée indéterminée;Contrat travail;True;Débutant accepté;{'libelle': 'Mensuel de 1747,20 Euros sur 12 mois'};35H Travail en journée;Temps plein;False;{};;1;False;6;Employé qualifié;80.10Z;80;Activités de sécurité privée;"[{'libelle': 'Prendre des initiatives et être force de proposition', 'description': 'Capacité à initier, imaginer des propositions nouvelles pour résoudre les problèmes identifiés ou améliorer une situation. Être proactif.'}, {'libelle': 'Faire preuve de curiosité', 'description': ""Capacité à aller chercher au-delà de ce qui est donné à voir, à s'ouvrir sur la nouveauté et à investiguer pour comprendre et agir de façon appropriée.""}, {'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}]";{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JJHS'};"[{'code': '108844', 'libelle': ""Repérer les anomalies, incidents et informer les forces de l'ordre et les clients"", 'exigence': 'S'}, {'code': '300284', 'libelle': ""Contrôler l'accès et la circulation des personnes"", 'exigence': 'S'}, {'code': '300451', 'libelle': ""Transmettre de l'information"", 'exigence': 'S'}]";;;False;;;;;;
163JJHQ;Technicien contrôle (H/F);"AQUILA RH Annemasse, acteur du recrutement en Intérim, CDD, CDI, recherche pour l'un de ses clients basé à Annemasse (74), un Technicien contrôle (H/F).


Vos missions:
Vos principales missions sont les suivantes :
- Vous contrôlez les pièces au niveau visuel et dimensionnel
- Vous notez les contrôles
- Vous gérez les documents qualités
- Vous aidez a l'amélioration les gammes de contrôle
- Vous rédigez et suivez les incidents
- Vous gérez les non-conformités et analysez les défauts en collaboration du service qualité

Informations complémentaires :
Horaire de journée du lundi au vendredi

Avantages :
Titre restaurant
Parking gratuit
Entreprise à taille humaine
Très bon environnement de travail. Votre profil:
*Formations et/ou expériences :
Vous justifiez d'une expérience significative dans un poste similaire.
Vous savez utiliser les outils de mesure, lire un plan, analyser les risques et gérer les priorités.";2023-10-16 14:46:02;2023-10-16 14:46:04;{'libelle': '74 - ANNEMASSE', 'latitude': 46.189327, 'longitude': 6.243054, 'codePostal': '74100', 'commune': '74012'};H1506;Intervention technique qualité en mécanique et travail des métaux;Technicien / Technicienne contrôle et mesure en mécanique;{'nom': 'AQUILA RH PILOTE', 'entrepriseAdaptee': False};MIS;Mission intérimaire - 2 Mois;Contrat travail;True;Débutant accepté;{'libelle': 'Horaire de 14,00 Euros à 14,00 Euros sur 12 mois'};35H Travail en journée;Temps plein;False;{'coordonnees1': 'http://app.mytalentplug.com/redirection.aspx?ojid=NSGvK2x1Ap8mbRvoLd9pLA==', 'urlPostulation': 'http://app.mytalentplug.com/redirection.aspx?ojid=NSGvK2x1Ap8mbRvoLd9pLA=='};;1;False;7;Technicien;78.20Z;78;Activités des agences de travail temporaire;;{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JJHQ'};[{'code': '124680', 'libelle': 'Application procédures qualité', 'exigence': 'S'}, {'code': '105456', 'libelle': 'Identifier des non-conformités', 'exigence': 'S'}, {'code': '121525', 'libelle': 'Concevoir, actualiser des outils de suivi de la qualité', 'exigence': 'S'}, {'code': '300242', 'libelle': 'Déterminer des mesures correctives', 'exigence': 'S'}, {'code': '300258', 'libelle': 'Contrôler la qualité et la conformité des process', 'exigence': 'S'}];;;False;;;;;;
163JJHM;Agent / Agente de nettoyage en collectivité;"Au sein d'un établissement scolaire, vous effectuerez le nettoyage des locaux ainsi que la plonge.
1 postes sont à pourvoir au 06/11/22. 
horaires 11h00 à16h00  lundi, mardi, jeudo, vendredi

Vous devez vérifier votre éligibilité au Parcours Emploi Compétences auprès de votre conseiller pour candidater.";2023-10-16 14:45:59;2023-10-16 14:45:59;{'libelle': '33 - ST AUBIN DE MEDOC', 'latitude': 44.924189, 'longitude': -0.737172, 'codePostal': '33160', 'commune': '33376'};K2204;Nettoyage de locaux;Agent / Agente de nettoyage en collectivité;{'entrepriseAdaptee': False};CDD;Contrat à durée déterminée - 12 Mois;CUI - CAE;True;Débutant accepté;{'libelle': 'Horaire de 11,52 Euros'};20H Travail en journée;Temps partiel;False;{'nom': 'Pôle Emploi SAINT-MEDARD-EN-JALLES', 'coordonnees1': '59 RUE JEAN DUPERRIER\nCS 70005', 'coordonnees2': '33167 ST MEDARD EN JALLES', 'coordonnees3': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JJHM'};{'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163JJHM'};1;False;5;Employé non qualifié;85.31Z;85;Enseignement secondaire général;"[{'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}, {'libelle': 'Organiser son travail selon les priorités et les objectifs', 'description': 'Capacité à planifier, prioriser, anticiper des actions, en tenant compte des moyens, des ressources, des objectifs et du calendrier pour les réaliser.'}, {'libelle': 'Travailler en équipe', 'description': ""Capacité à travailler et à se coordonner avec les autres au sein de l'entreprise pour réaliser les objectifs fixés.""}]";{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163JJHM'};"[{'code': '104167', 'libelle': ""Caractéristiques des produits d'entretien"", 'exigence': 'S'}, {'code': '126141', 'libelle': 'Baliser les zones glissantes', 'exigence': 'S'}, {'code': '300152', 'libelle': ""Préparer du matériel en prévision d'un travail"", 'exigence': 'S'}, {'code': '300282', 'libelle': 'Entretenir, nettoyer un espace, un lieu, un local', 'exigence': 'S'}, {'code': '300451', 'libelle': ""Transmettre de l'information"", 'exigence': 'S'}]";;;True;;;;;;
