appellationlibelle,codeNAF,competences,contact,dateActualisation,dateCreation,deplacementCode,deplacementLibelle,description,dureeTravailLibelle,dureeTravailLibelleConverti,entreprise,experienceExige,experienceLibelle,formations,id,intitule,lieuTravail,natureContrat,nombrePostes,offresManqueCandidats,origineOffre,qualificationCode,qualificationLibelle,romeCode,romeLibelle,salaire,secteurActivite,secteurActiviteLibelle,typeContrat,typeContratLibelle
Métallier-serrurier / Métallière-serrurière,43.99C,,{},2023-10-11T10:05:31.000Z,2023-10-11T10:05:29.000Z,3,Fréquents Zone régionale,"Recherche un(e) métallier(ère)/serrurier(ère) sachant :
Concevoir, fabriquer et poser tout type de menuiserie métallique: portes, fenêtres et autres ouvertures en métal ;
Dessiner, créer, fabriquer et poser différents éléments du bâtiment en métal: véranda, escalier, charpente métallique, volutes, portails, grilles  ;
Concevoir, forger et assembler les pièces et éléments en métal nécessaires dans les systèmes de fermeture d'un bâtiment: fenêtres, serrures, portes...

Doit savoir maîtriser :
- L'étude des documents techniques, plans et dessins ;
- La prise de mesure, le dessin et l'élaboration de plan ;
- La découpe, la plie, le perçage, la meule et la soudure des pièces et éléments en métal ;
- L'utilisation des différents outils de pliage, de soudure et de découpe ;
- Le montage et l'assemblage des différents éléments métalliques ;
- La pose, la réparation, le remplacement, la maintenance et l'entretien des ouvrages en métal.",39H Travail en journée,Temps plein,"{'nom': 'ARL CONCEPT', 'entrepriseAdaptee': False}",E,1 an,,163BTRK,Métallier-serrurier / Métallière-serrurière,34 - MAUGUIO,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTRK'}",6,Employé qualifié,F1607,Pose de fermetures menuisées,"Horaire de 14,00 Euros",43,Travaux de maçonnerie générale et gros œuvre de bâtiment,CDI,Contrat à durée indéterminée
Plombier / Plombière,78.20Z,"Réaliser un diagnostic de panne ou de dysfonctionnement d'installation, Poser des tuyauteries, Installer des équipements de chauffage, Poser des éléments sanitaires, Réaliser des travaux de raccordement aux appareils de chauffage et éléments sanitaires","{'coordonnees1': 'http://app.mytalentplug.com/description-offre.aspx?ojid=JSmE13GUWFfEJjwUzKIKxQ==', 'urlPostulation': 'http://app.mytalentplug.com/description-offre.aspx?ojid=JSmE13GUWFfEJjwUzKIKxQ=='}",2023-10-11T10:05:26.000Z,2023-10-11T10:05:24.000Z,,,"Votre agence CRIT TOURS BTP recherche des personnes impliquées, rigoureuses et dynamiques pour un poste de Plombier sur le secteur de Tours et ses environs.

Vos missions seront :

-	Détecter et comprendre les problèmes perçus par le particulier
-	Démonter, poser et installer des installations sanitaires ou autres
-	Respecter les règles et normes en matière de plomberie

Taux horaire de 11.52EUR à 13.50EUR.

En travaillant pour CRIT vous bénéficiez de nombreux avantages :
-	Indemnités de fin de mission = 10% de votre salaire brut Indemnités de congés payés = 10% de votre salaire brut, soit un total de + 21% brut.
-	Compte épargne temps déblocable à tout moment à 5% d'intérêts (Aide au logement, Aide au déplacement, mutuelle et prévoyance, Aide à la garde d'enfants) 
-	Accès au CSE (Cinéma, Spectacle, Vacances, Cartes CADEAUX, accès gratuit à la plateforme Tout Apprendre : Code de la route, soutien scolaire du primaire à la terminale, apprentissage de langues, loisirs créatifs, cours de cuisine...). Vous connaissez parfaitement la circulation des canalisations, vous maitrisez les différentes techniques de plomberie (sertissage, filtration, cintrage...). Vous savez lire un plan ou un schéma, avez des compétences en électricité, électronique et mécanique  
Alors ce poste est fait pour vous !

Marie, Cindy et Caroline attendent votre candidature !",35H Travail en journée,Temps plein,"{'nom': 'CRIT', 'entrepriseAdaptee': False}",D,Débutant accepté,,163BTRH,Plombier (H/F),37 - TOURS,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTRH'}",3,"Ouvrier qualifié (P1,P2)",F1603,Installation d'équipements sanitaires et thermiques,"Horaire de 11,52 Euros à 13,00 Euros sur 12 mois",78,Activités des agences de travail temporaire,MIS,Mission intérimaire - 4 Mois
Chef de projet informatique,62.02A,"Définir la stratégie des systèmes d'informations, Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation, Élaborer un schéma directeur technique, définir des besoins en équipement, Concevoir et gérer un projet","{'nom': 'INFORMATIS T.S. - M. MARC SOREL', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTRG', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTRG'}",2023-10-11T10:05:18.000Z,2023-10-11T10:05:16.000Z,1,Jamais,"Dans le cadre d'un important projet avec un groupe international leader dans son domaine, nous recherchons un Consultant technique CRM D365.
Intégré à l'équipe informatique et encadré par son responsable, vous êtes en charge de :
- Soutenir toutes les tâches IS/IT liées au centre de compétence des applications de service à la clientèle et de marketing (MyCRM) au sein du groupe (Déploiement, Run et Support)

-Concernant les solutions gérées par le Competency Center :
Déploiement
- Initier des projets de Déploiement au sein du groupe et des partenaires, en termes de délais, de budget, de sécurité et les bénéfices attendus, dans le cadre du Competency Center
- Gérer le référentiel de solutions lors de l'exécution des déploiements jusqu'à la mise en service et du passage à l'éxécution phase
- Travail sur la rationalisation applicative associée et l'interfaçage optimal de la solution Marketing avec Groupe Data Hub

- Exécution et assistance
- Assurer les activités de maintenance (dont la maintenance du référentiel de configuration) et le support applicatif de niveau 2 visant un résultat optimal et selon les exigences clients (qualité, performance, coût, délai et sécurité)
- Gérer le cycle de vie des solutions dans le cadre du processus d'amélioration continue fourni par le groupe, plan de livraison évolutif et correctif et plan de release fournisseur.
- Suivre et accompagner la performance globale des solutions avec une amélioration continue (automatisation des tâches, réduction des incidents et demandes)

Périmètre : Système d'information CRM et Marketing Groupe (Service Client D365CRM Marketing )
Indicateurs de performance : KPI SLA, satisfaction du client, Coût total de possession des applications. Respect des délais et des coûts 

Vos missions :
Contribuer au déploiement du Centre de compétences.
- En tant que membre de l'équipe de livraison, contribuer aux livraisons du projet, la surveillance et l'atténuation des incidents, grâce à la mise en œuvre des bonnes stratégies d'acceptation.
- Communiquer de manière proactive avec les représentants des utilisateurs sur la feuille de route et leurs retours
- Exécuter le processus d'assurance qualité et vérifier la bonne mise en œuvre de la solution conçue.
- Appliquer les consignes Groupe ou Cyber Sécurité, Projet, Politiques d'achat et d'architecture.
- Assurer le reporting requis et tenir la direction régulièrement informée des résultats obtenus et des problèmes significatifs.
- Veiller au respect des exigences légales et des règles de sécurité.


Compétences requises :
De formation supérieure in informatique, Bac + 5 ou équivalent, vous avez une expérience de 5 ans minimum dans un poste équivalent.

Connaissances et savoir faire :
Compréhension des meilleures pratiques commerciales standard de l'industrie soutenu par le CRM et le marketing
Compréhension claire de Microsoft Power Platform en particulier D365 CRM Service Client et Marketing
Connaissance des méthodes de gestion de projet et outils associés (Jira, ServiceNow,) dont les outils DevOps (Azure DevOps, GitHub, )
Conception et développement de solutions avec différentes technologies (JavaScript, HTML, Plugins, ISVs...)
Connaissance des méthodes Agiles et d'amélioration continue
Anglais courant",35H Travail en journée,Temps plein,"{'nom': 'INFORMATIS T.S.', 'url': 'http://www.informatis-ts.fr', 'entrepriseAdaptee': False}",E,5 ans,,163BTRG,Consultant Technique CRM D365 (H/F),92 - ISSY LES MOULINEAUX,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTRG'}",9,Cadre,M1803,Direction des systèmes d'information,"Annuel de 55000,00 Euros à 65000,00 Euros sur 12 mois",62,Conseil en systèmes et logiciels informatiques,CDI,Contrat à durée indéterminée
Vendeur / Vendeuse en bijouterie,47.78C,"Adapter une stratégie de vente à une cible ou un produit, Apporter une assistance technique, Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison, Entretenir, nettoyer un espace, un lieu, un local, Vendre ou louer des produits ou des services, Présenter et valoriser un produit ou un service, Organiser, aménager un espace de vente, Mettre en oeuvre des actions commerciales et promotionnelles, Assurer un service après-vente","{'nom': 'BIJOU BRIGITTE - Mme Lynda CLAUSE', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTRF', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTRF'}",2023-10-11T10:05:12.000Z,2023-10-11T10:05:12.000Z,,,"Vous êtes en charge de l'accueil, du conseil et de la vente à la clientèle. Vous assurez la tenue de la caisse. Vous suivez les commandes effectuées par la clientèle.Vous êtes à l'aise avec la relation clientèle. Vous travaillez en collaboration avec une équipe dynamique. Vous avez une expérience dans le commerce de détail de préférence dans la mode, les bijoux et/ou accessoires.",24H Travail en journée,Temps partiel,"{'nom': 'BIJOU BRIGITTE', 'entrepriseAdaptee': False}",E,"1 an - mode, bijoux et/ou accessoires",,163BTRF,Vendeur / Vendeuse en bijouterie (H/F),54 - MONT ST MARTIN,Contrat travail,1,,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTRF'}",5,Employé non qualifié,D1214,Vente en habillement et accessoires de la personne,"Horaire de 11,52 Euros",47,Autres commerces de détail spécialisés divers,CDD,Contrat à durée déterminée - 6 Mois
Cuisinier / Cuisinière,56.10A,"Cuire des viandes, poissons ou légumes, Dresser des plats pour le service, Éplucher des légumes et des fruits, Préparer les viandes et les poissons","{'nom': ""L'AUBERGE DU PLANE - Mme GERBER NATHALIE"", 'coordonnees1': 'Tél. : 0479876710', 'telephone': '0479876710'}",2023-10-11T10:05:12.000Z,2023-10-11T10:05:12.000Z,,,"Au sein d'un restaurant proposant une cuisine traditionnelle ouvert du vendredi midi et soir, samedi midi au soir et dimanche midi.
Vous serez en charge de la préparation des différents plats et entrées ainsi que de la cuisson, entretien de l'espace de travail.
Vous aurez aussi en charge le réapprovisionnement en collaboration avec la gérante.
Vous travaillerez avec une équipe deux personnes en cuisine, plus l'équipe services

Contrat de remplacement avec possibilité de renouvellement

Pas de possibilité d'hébergement",35H Station debout prolongée,Temps plein,"{'nom': ""L'AUBERGE DU PLANE"", 'entrepriseAdaptee': False}",E,2 ans,,163BTRD,Cuisinier / Cuisinière,01 - HAUT VALROMEY,Contrat travail,1,,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTRD'}",6,Employé qualifié,G1602,Personnel de cuisine,"Horaire de 12 Euros à 14,5 Euros",56,Restauration traditionnelle,CDD,Contrat à durée déterminée - 2 Mois
Cariste,78.20Z,"Charger, décharger, manutentionner des produits","{'nom': 'COTE JOB - M. PROMAN COTEJOB BOURG', 'coordonnees1': 'https://www.proman-emploi.fr/?job=MP822287&candidature&origine=POLE-EMPLOI-JTMO&utm_source=pole-emploi-jtmo&utm_medium=referral&utm_campaign=annonces-free&utm_term=offre', 'urlPostulation': 'https://www.proman-emploi.fr/?job=MP822287&candidature&origine=POLE-EMPLOI-JTMO&utm_source=pole-emploi-jtmo&utm_medium=referral&utm_campaign=annonces-free&utm_term=offre'}",2023-10-11T10:05:07.000Z,2023-10-11T10:05:06.000Z,,,"Le poste :
Votre agence CôtéJob Bourg en Bresse , recherche pour l'un de ses clients spécialisé dans la logistique, un CARISTE 5 / 6 H/F. Vous aurez pour mission : - Récupérer les livraisons et les monter sur les rayonnages. - Descendre les palettes en fonction des besoins - Contrôler les anomalies au sein de l'entrepôt - Préparer les commandes Horaires : Après-midi fixe 13h00 - 21h00, du Lundi au Samedi (jour de repos en semaine) Rémunération : Grille de l'entreprise + primes variable Poste prévue sur du long terme. Ce poste est disponible dès que possible en agence d'emploi.


Profil recherché :
Titulaire du CACES 5 et 6, Vous avez idéalement une première expérience à un poste similaire. 
Tous nos postes sont ouverts aux personnes en situation de handicap.",35H Travail en journée,Temps plein,"{'nom': 'COTE JOB', 'url': 'https://www.proman-emploi.fr/', 'entrepriseAdaptee': False}",S,1 an,,163BTQY,Cariste 5 / 6 (H/F),01 - ATTIGNAT,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQY'}",5,Employé non qualifié,N1101,Conduite d'engins de déplacement des charges,"Horaire de 11,73 Euros à 11,73 Euros sur 12 mois",78,Activités des agences de travail temporaire,MIS,Mission intérimaire - 3 Mois
Dessinateur / Dessinatrice du bâtiment,71.11Z,Normes de la construction,"{'nom': 'Pôle Emploi LANGON', 'coordonnees1': 'ZI DE DUMES 22 E ROUTE DE BAZAS\nCS 40019', 'coordonnees2': '33213 LANGON', 'coordonnees3': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQX'}",2023-10-11T10:05:06.000Z,2023-10-11T10:05:06.000Z,,,"Sous la responsabilité de votre chef d'équipe vous l'assistez dans la réalisation de permis de construire. 
Vous maîtrisez le logiciel archiCAD, idéalement twinmotion, et surtout vous avez une expérience probante dans le dépôt de permis de construire, la lecture et l'analyse des règlements d'urbanisme. 
Vous faites preuve de rigueur et de curiosité et vous êtes à l'aise dans l'interaction mail et / ou téléphone. 
Une connaissance des spécificités ERP est un plus.

Vous possédez des qualités rédactionnelles et vous maitrisez l'orthographe. 
Possibilité de télétravail 3 jours par semaine une fois le poste pris en main.",39H Travail en journée,Temps plein,{'entrepriseAdaptee': False},E,1 an - Souhaitée,Bac ou équivalent,163BTQX,Dessinateur / Dessinatrice du bâtiment (H/F),33 - CAPTIEUX,Contrat travail,1,,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQX'}",6,Employé qualifié,F1104,Dessin BTP et paysage,Annuel de 24000 Euros sur 12 mois,71,Activités d'architecture,CDI,Contrat à durée indéterminée
Concepteur / Conceptrice de produits touristiques,70.22Z,"Concevoir un voyage à la carte, Contrôler la réalisation et les coûts d’une prestation , Identifier et sélectionner des fournisseurs, sous-traitants, prestataires, Négocier un contrat","{'nom': 'ELYSEE CONCEPT - M. Guy Guérin', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQW', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQW'}",2023-10-11T10:05:10.000Z,2023-10-11T10:05:04.000Z,,,"Nous vous proposons de créer votre CONCIERGERIE pour LOCATIONS de STANDING dans les régions touristiques. Créez votre entreprise sur ce segment de marché en forte croissance. L'activité de notre concept de conciergerie est d'apporter des services sur-mesure pour préparer les villas, chalets et appartements pour les vacanciers et les propriétaires. L'un des leaders en France sur ce segment d'activité développe son réseau de conciergeries dans votre région. Cette offre intéresse les personnes qui souhaitent créer leur propre agence sur ce secteur d'activité. L'enseigne vous propose un contrat de franchise (droit d'entrée 18 K€, durée du contrat 7 ans, renouvelable par tacite reconduction) assure une formation complète et apporte une assistance permanente en cours d'exploitation de votre conciergerie. Cette offre est une proposition de création d'agence indépendante franchisée et non une offre d'emploi salariée.
Nous vous proposons bien de CREER votre propre CONCIERGERIE en bénéficiant du réel savoir-faire du réseau que nous développons. Le concept propose une offre globale comprenant toutes les prestations de conciergerie de standing. Le partenariat proposé est un atout dans la réussite de votre entreprise. Ce projet vous permet de changer de vie en vous positionnant sur un secteur porteur. CREATION d'une agence",,,"{'nom': 'ELYSEE CONCEPT', 'url': 'http://www.managerial.fr', 'entrepriseAdaptee': False}",D,Débutant accepté,,163BTQW,Gérant d'une agence de CONCIERGERIE en zone touristique (H/F),74 - ANNECY,Emploi non salarié,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQW'}",9,Cadre,G1301,Conception de produits touristiques,,70,Conseil pour les affaires et autres conseils de gestion,FRA,Franchise
Chargé / Chargée de gestion logistique,70.22Z,"Suivre la mise en place et la réalisation des plans d'action logistiques et contrôler la conformité d'application, Superviser l'acheminement de produits, Synchroniser les activités logistiques avec le cahier des charges, Organiser une opération logistique de transport","{'nom': 'IDEAL SOURCING - Mme Corinne GARCHERY', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQV', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQV'}",2023-10-11T10:04:58.000Z,2023-10-11T10:04:56.000Z,1,Jamais,"Au sein du Service des Opérations pour une société spécialisée dans la location de smartphones, je recrute un(e) chargé(e) du SAV polyvalent.  
Au seine d'une équipe dynamique et polyvalente, votre mission sera la suivante :
La prise en charge des retours clients  
La réception des retours pour panne, casse et changement de modèle 
La mise à jour du fichier de suivi des retours avec les réceptions du jour
La gestion de leurs réparateurs partenaires : 
Vous serez leur interlocuteur privilégié (gestion des envois, retours et suivi)
Vous tiendrez également à jour le fichier de suivi des retours avec les casses et les pannes résolues
Le reconditionnement des smartphones en vue de leur retour en location
Vous serez également le garant de la relation client : 
Contacte des clients pour déverrouiller les téléphones localisés 
Vous apporterez ponctuellement votre aide au sein du service quand nécessaire mais également pour la préparation des envois 
De formation BAC / BAC+2, vous avez une très bonne élocution et une parfaite maîtrise de la langue française à l'oral comme à l'écrit
Vous avez une très bonne connaissance de Pack Office (surtout Excel pour les suivis) 
Une expérience / connaissance des smartphones est un vrai plus
Vos qualités indéniables : Digne de confiance, Rigoureux(se) dans le suivi, ponctuel(le) et assidu(e)",35H Travail en journée,Temps plein,"{'nom': 'IDEAL SOURCING', 'description': 'IDEAL SOURCING est un cabinet de recrutement \nLa raison d être d IDEAL SOURCING est de trouver la bonne personne pour le bon poste, dans l intérêt commun de l entreprise et du candidat.', 'entrepriseAdaptee': False}",E,2 ans,Bac ou équivalent,163BTQV,Chargé(e) du SAV  polyvalent (H/F),92 - COLOMBES,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQV'}",7,Technicien,N1301,Conception et organisation de la chaîne logistique,"Mensuel de 1800,00 Euros à 2100,00 Euros sur 12 mois",70,Conseil pour les affaires et autres conseils de gestion,CDI,Contrat à durée indéterminée
Monteur-dépanneur / Monteuse-dépanneuse frigoriste,33.20B,"Déterminer des éléments d'équipements frigorifiques ou de conditionnement d'air (puissance, implantation, ...), Réaliser une intervention nécessitant une habilitation, Participer à la mise en service des installations, Démarrer et/ou arrêter une machine, une ligne, Installer le chantier, Positionner et fixer les groupes, condenseurs, tubes, câbles électriques, Contrôler l'étanchéité, aptitude manipulation des fluides frigorigènes 1","{'nom': 'AIR FROID 51 - Mme CAROLE VACHERON', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQT', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQT'}",2023-10-11T10:04:56.000Z,2023-10-11T10:04:56.000Z,,,"Nous recherchons un  frigoriste

Vous  procédez à l'installation des systèmes de froid, climatisation et pompe à chaleur.
Vous détenez l'Attestation d'aptitude à la manipulation des fluides frigorigènes catégorie 1",35H Au domicile de l'intervenant,Temps plein,"{'nom': 'AIR FROID 51', 'entrepriseAdaptee': False}",D,Débutant accepté,Bac ou équivalent,163BTQT,Monteur-dépanneur / Monteuse-dépanneuse frigoriste,51 - COURTISOLS,Contrat travail,1,,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BTQT'}",7,Technicien,I1306,"Installation et maintenance en froid, conditionnement d'air",Horaire de 14 Euros,33,Installation de machines et équipements mécaniques,CDI,Contrat à durée indéterminée
